  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.258  0.9948666       2434       7.95      0.262       2.254
     2.546  0.9920705       2314       3.93      2.254       2.839
     3.044  0.9911906       2290       3.29      2.839       3.249
     3.413  0.9900083       2264       2.93      3.249       3.576
     3.714  0.9881383       2276       2.69      3.576       3.852
     3.973  0.9876170       2267       2.52      3.852       4.094
     4.201  0.9860479       2240       2.38      4.094       4.309
     4.407  0.9728182       2263       2.27      4.309       4.505
     4.596  0.9768454       2246       2.18      4.505       4.686
     4.770  0.9736661       2247       2.10      4.686       4.853
     4.932  0.9639357       2253       2.03      4.853       5.010
     5.084  0.9470095       2211       1.97      5.010       5.157
     5.227  0.8169059       2236       1.91      5.157       5.297
     5.363  0.8418396       2248       1.86      5.297       5.429
     5.492  0.7843096       2237       1.82      5.429       5.556
