  1/d centre      CC*       nref      d / A   Min 1/nm    Max 1/nm
     1.227  0.9962726       2248       8.15      0.262       2.193
     2.478  0.9943242       2121       4.04      2.193       2.762
     2.962  0.9923863       2125       3.38      2.762       3.162
     3.321  0.9907537       2096       3.01      3.162       3.480
     3.614  0.9890715       2085       2.77      3.480       3.748
     3.866  0.9910626       2086       2.59      3.748       3.983
     4.088  0.9887988       2101       2.45      3.983       4.193
     4.288  0.9871889       2069       2.33      4.193       4.384
     4.471  0.9751249       2060       2.24      4.384       4.559
     4.641  0.9745956       2074       2.15      4.559       4.722
     4.798  0.9719698       2057       2.08      4.722       4.875
     4.946  0.9621805       2083       2.02      4.875       5.018
     5.086  0.9457857       2050       1.97      5.018       5.154
     5.218  0.8613068       2039       1.92      5.154       5.283
     5.344  0.8784646       2070       1.87      5.283       5.405
